"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"3546","2016-04-07","2019-04-07","Cisco SM1","Соответствует требованиям документов: РД МЭ(4)","2","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
"3547","2016-04-07","2019-04-07","межсетевой экран Cisco FWSM","Соответствует требованиям документов: РД МЭ(4)","5","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
"3548","2016-04-07","2019-04-07","сетевое устройство Alcatel OS6850-24","Соответствует требованиям документов: РД МЭ(4)","1","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
"3549","2016-04-11","2019-04-11","«СЕТУНЬ» 2.0","Соответствует требованиям документов: РД НДВ(4)","300","ООО «ИБТранс»","АО «НИИАС»","ООО «СЕТУНЬ»","107031, г. Москва, ул. Рождественка, д. 5/7, стр. 2, пом. V, оф. 18, (495) 363-4336",""
"3551","2016-05-06","2019-05-06","программный комплекс «Автоматизированная система «Электронная торговая площадка ЕСТП»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","АО «Информакустика»","АО «НПО «Эшелон»","ООО «ЕСТП»","115035 г. Москва, ул. Садовническая, д. 14, стр. 2, (495) 753-9055","2024-05-06"
"3552","2016-04-14","2019-04-14","генератор ГШ-2500МС (исполнение ТИДН.46217.010-01)","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП СКБ ИРЭ РАН","141190, Московская обл., г. Фрязино, площадь Введенского, д. 1, 8 (496) 565 24-03, (495) 988-2825","2029-04-14"
"3553","2016-04-20","2029-04-20","система защиты информации от несанкционированного доступа «Страж NT» версия 4.0","Соответствует требованиям документов: Требования доверия(2), РД СВТ(3)","серия","ООО «ЦБИ»","ЗАО «НПП «БИТ»","ООО «РУБИНТЕХ»","127018, г. Москва, вн. тер. г. муниципальный округ Марьина роща, ул. Сущевский вал, д.5, стр.3, помещ. I, ком.5, (495) 971-3376","2029-04-20"
"3556","2016-04-20","2029-04-20","программный комплекс «Kaspersky Security Center совместно с Kaspersky Private Security Network»","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(А второго класса защиты. ИТ.САВЗ.А2.ПЗ), ЗБ","серия","ЗАО «ВИВОСС и ОИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700","2029-04-20"
"3558","2016-04-26","2019-04-26","межсетевой экран Check Point R75.40","Соответствует требованиям документов: РД МЭ(4)","1","АО «НПО «Эшелон»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",""
"3559","2016-04-26","2019-04-26","система управления базами данных «Oracle Database 10g Release (10.2.0.3)»","Соответствует требованиям документов: ТУ","2","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",""
"3562","2016-04-27","2019-04-27","СУБД «Oracle Database 11g Release 2 (11.2.0.4)»","Соответствует требованиям документов: ТУ","3","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","АО «Газпромбанк»","117420, Наметкина ул., д. 16, корп. 1, г. Москва, (495) 913-7474",""
"3564","2016-05-20","2019-05-20","расчетная часть специального программного обеспечения «Сапфир»","Соответствует требованиям документов: НМД по ТЗИ ВОСП-2005, РД НДВ(3), ТУ","серия","АО «БИТК»","ООО «ЦБИ»","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374","2025-08-29"
"3565","2016-05-12","2019-05-12","программное обеспечение «Изделие программное РПО ВПИУК  ИГНД.467511.687»","Соответствует требованиям документов: РД НДВ(2), ТУ","5","АНО «Институт инженерной физики»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО КЦ «Атомбезопасность»","115230, г. Москва, пр. Электролитный, влад. 1А, стр. 1, (499) 317-62-18",""
"3566","2016-07-12","2019-07-12","Система мониторинга линий связи и блокировки канала передачи данных","Соответствует требованиям документов: РД НДВ(4)","50","ООО «НПП «СВК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Техцентр»","197348, г. Санкт-Петербург, ул. Аэродромная, д. 8, литер А, офис 444, (812) 779-13-67",""
"3567","2016-05-17","2029-05-17","генератор шума «ЛГШ-501»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","АО «Лаборатория ППШ»","Гостехкомиссия России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2029-05-17"
"3568","2016-05-20","2019-05-20","система «Цирконий-С2000»","Соответствует требованиям документов: РД НДВ(2)","серия","ПФ АО «НТЦ «Атлас»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФНПЦ «ПО «Старт» им. М.В.Проценко»","442960, Пензенская обл., г. Заречный, пр-т Мира, д. 1, (841-2) 23-2853","2024-12-20"
"3570","2016-05-27","2029-05-27","специальное программное обеспечение автоматизированной системы биоидентификации «АССаД-ID»","Соответствует требованиям документов: Требования доверия(3), РД АСФЗ(1)","серия","ФГУП «СКЦ Росатома»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АЛГОНТ»","248009, г. Калуга, Грабцевское шоссе, д. 33, (4842) 58-0707","2036-06-10"
"3571","2016-05-27","2019-05-27","межсетевой экран Cisco ASA 5585","Соответствует требованиям документов: РД МЭ(3)","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «Лаборатория ППШ»","АО «Инфозащита»","115114, г. Москва, Дербеневская наб., д. 11, (495) 781-6412",""
"3572","2016-05-27","2019-05-27","сетевое устройство Cisco 2ххх","Соответствует требованиям документов: РД МЭ(4)","25","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
"3573","2016-05-27","2019-05-27","коммутатор Cisco Catalist 450х","Соответствует требованиям документов: РД МЭ(4)","4","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","Главное управление безопасности и защиты информации Банка России","107016, г. Москва, ул. Неглинная, д. 12, (495) 771-4261",""
"3576","2016-06-07","2019-06-07","межсетевой экран Cisco ASA 5585","Соответствует требованиям документов: РД МЭ(3)","1","АО «БИТК»","ЗАО «НПП «БИТ»","ООО «Поликом»","603001, г. Нижний Новгород, ул. Рождественская, д. 12, (831) 461-4614",""
"3577","2016-06-24","2019-06-24","ПО «Специализированное программное обеспечение «Тобол-ТВ»","Соответствует требованиям документов: РД НДВ(2), ТУ","серия","ФГУП «СКЦ Росатома»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, д. 14, (499) 725-0291","2026-12-31"
"3580","2016-06-15","2019-06-15","ПО «Система микропроцессорная управления, регулирования и диагностики «МПСУ-ТП». Программа управляющая для тепловоза ТЭМ19»","Соответствует требованиям документов: РД НДВ(4)","50","ООО «НПП «СВК»","АО «НИИАС»","АО «ВНИКТИ»","140402, Московская обл., г. Коломна, ул. Октябрьской революции, д. 410, (496) 618-8218, (496) 618-8283",""
"3581","2016-06-23","2019-06-23","программное обеспечение «Программа регулятора ЭРЧМ30Т4-02-02» 643.24428398.00065-05","Соответствует требованиям документов: РД НДВ(4)","1","ООО «НПП «СВК»","АО «НИИАС»","ООО «ППП Дизельавтоматика»","410017 г. Саратов, ул. Чернышевского, д. 109, (8452) 20-3810",""
"3583","2016-06-28","2029-06-28","Система виброакустической защиты «Муссон» (в комплектации с блоками питания БП-0.5, БП-1, БП-2)","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(Б4)","серия","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Тех ЗИ»","141090, Московская обл., г. Королев, мкр.  Юбилейный, ул. Пионерская, д. 7/1, кв. 148, (499) 714-2109",""
"3584","2016-06-27","2029-06-27","генератор акустического шума «ЛГШ-304»","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(Б2)","серия","АО «Лаборатория ППШ»","АО «БИТК»","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2029-06-27"
"3585","2016-06-28","2029-06-28","«ЛГШ-402»","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(А4)","серия","АО «Лаборатория ППШ»","Гостехкомиссия России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2029-06-28"
"3586","2016-06-28","2029-06-28","САЗ «ГНОМ-3М»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Приборостроитель»","188800 г. Выборг, ул. Данилова, д. 15, (81378) 25-407",""
"3587","2016-06-28","2019-06-28","«Гром-И-5»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИНФОПРО»","125047, г. Москва, ул. Брестская 2-я, д. 8, пом. XV, ком. 23, (495) 319-1618, (800) 555-8505","2032-12-31"
"3588","2016-06-28","2029-06-28","система активной защиты информации от утечки по каналам ПЭМИН «Гром-И-5» исп. 2, «Гром-И-5» исп. 3","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИНФОПРО»","125047, г. Москва, ул. Брестская 2-я, д. 8, пом. XV, ком. 23, (495) 319-1618, (800) 555-8505","2032-12-31"
"3589","2016-06-30","2019-06-30","СЗИ от НСД программного комплекса «мойОфис»","Соответствует требованиям документов: РД НДВ(4), ТУ","100","ООО «НТЦ «ИРБИС»","ООО «ЦБИ»","ООО «НОВЫЕ ОБЛАЧНЫЕ ТЕХНОЛОГИИ»","420500, Республика Татарстан, г. Иннополис, ул. Университетская, д. 7, офис 302, (495) 134-0032",""
"3590","2016-07-01","2024-07-01","Система защиты информации от утечки за счет ПЭМИН «Стикс-4»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Информакустика»","194021, г. Санкт-Петербург, ул. Политехническая, д. 22, лит. А, (812) 777-7884","2027-07-01"
"3591","2016-07-01","2029-07-01","персональная электронная вычислительная машина в защищенном исполнении  семейства «Secret»","Соответствует требованиям документов: Требования ТЗИ, ТУ","серия","ФГУ «12 ЦНИИ Минобороны России»","","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498","2029-07-01"
"3594","2016-07-04","2029-07-04","система защиты информации от несанкционированного доступа «Dallas Lock Linux»","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(В четвертого класса защиты. ИТ.МЭ.В4.ПЗ), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации четвертого класса защиты. ИТ.СКН.П4.ПЗ), Требования к СОВ, Профили защиты СОВ(узла четвертого класса защиты. ИТ.СОВ.У4.ПЗ), РД СВТ(5)","серия","АО «Лаборатория ППШ»","АО «НПО «Эшелон»","ООО «Конфидент»","192029, г. Санкт-Петербург, пр. Обуховской обороны, д. 51, лит. К, (812) 325-1037","2030-07-04"
"3595","2016-07-18","2019-07-18","межсетевой экран Cisco ASA 5585","Соответствует требованиям документов: РД МЭ(4)","2","ООО «НПО ВС»","ФСТЭК России","ГУП «Центр информационных технологий Республики Татарстан»","420107, г. Казань, ул. Петербургская, д. 52, IT-парк, (843) 279 5173",""
"3596","2016-07-12","2029-07-12","система «Шорох-5Л»","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(Б1)","серия","ФГУП «Гостехстрой»","ООО «ЦБИ»","ООО «ЦБИ «МАСКОМ»","129090, г. Москва, вн.рер.г. муниципальный округ Красносельский, пер. Живарев, д. 8, стр. 3, помещ. 1/5, (495) 136-4010","2039-07-12"
"3597","2016-07-11","2029-07-11","программный комплекс «Электронный замок «ВИТЯЗЬ», версия 2.2","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(Г второго класса защиты. ИТ.САВЗ.Г2.ПЗ), Требования к СДЗ, Профиль защиты СДЗ(базовой системы ввода-вывода второго класса защиты. ИТ.СДЗ.УБ2.ПЗ)","серия","ЗАО «КЛИО»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Крафтвэй корпорэйшн ПЛС»","249032, Калужская обл., г. Обнинск, ш. Киевское, д. 64, (495) 969-2400","2035-12-31"
"3598","2016-07-14","2019-07-14","КИБ Серчинформ 5.0
","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «СерчИнформ»","121069, Москва, Скатертный переулок, д. 8/1, стр. 1, пом. I, комн. 2, (495) 721-8406
доб. 129 офисменеджер Ожегова","2030-12-31"
"3599","2016-07-22","2029-07-22","Система постановки виброакустических и акустических помех «ЛГШ-404»","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(АВ2)","серия","АО «Лаборатория ППШ»","ООО «ЦБИ»","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2029-07-22"
"3600","2016-08-03","2019-08-03","Генератор шума «Гамма-ГШ18»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(Б), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684","2030-12-09"
"3603","2016-08-09","2019-08-09","коммутатор Cisco C2960X с установленным программным обеспечением Cisco версии IOS 15.2(2)E3","Соответствует требованиям документов: РД МЭ(4)","6","ООО «ЛИССИ-Софт»","АО «Лаборатория ППШ»","АО «Инжиниринговая компания «АЭМ – технологии»","196653, г. Санкт-Петербург, г. Колпино, ул. Финляндская, д. 7, (812) 339-0339",""
"3604","2016-08-09","2019-08-09","коммутатор Cisco C3750X","Соответствует требованиям документов: РД МЭ(4)","3","ООО «ЛИССИ-Софт»","АО «Лаборатория ППШ»","АО «Инжиниринговая компания «АЭМ – технологии»","196653, г. Санкт-Петербург, г. Колпино, ул. Финляндская, д. 7, (812) 339-0339",""
"3606","2016-09-29","2019-09-29","система обнаружения вторжений WS-SVC-ASA-SM1-K8","Соответствует требованиям документов: Требования к СОВ, Профили защиты СОВ(cети пятого класса защиты. ИТ.СОВ.С5.ПЗ)","1","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЛАНИТ»","129075, г. Москва, вн.тер.г. муниципальный округ Останкинский, Мурманский пр-д, д. 14, к. 1, (495) 967-6657",""
"3609","2016-09-29","2019-09-29","СОВ IPS 4345","Соответствует требованиям документов: Требования к СОВ, Профили защиты СОВ(cети пятого класса защиты. ИТ.СОВ.С5.ПЗ)","1","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЛАНИТ»","129075, г. Москва, вн.тер.г. муниципальный округ Останкинский, Мурманский пр-д, д. 14, к. 1, (495) 967-6657",""
"3610","2016-08-12","2019-08-12","межсетевой экран с системой обнаружения вторжений ASA 5512","Соответствует требованиям документов: Требования к СОВ, Профили защиты СОВ(cети пятого класса защиты. ИТ.СОВ.С5.ПЗ), РД МЭ(3)","2","АО «БИТК»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ЛАНИТ»","129075, г. Москва, вн.тер.г. муниципальный округ Останкинский, Мурманский пр-д, д. 14, к. 1, (495) 967-6657",""
"3612","2016-08-24","2019-08-24","программа для ЭВМ «ЭЛПОСТ»","Соответствует требованиям документов: РД НДВ(4)","50","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬПРИНТО»","191024, г. Санкт-Петербург, ул. 4-я Советская, д. 40, лит. Ж, (812) 328-3528",""
"3614","2016-08-31","2019-08-31","автоматизированная информационная система «Зачисление в учреждения дополнительного образования»","Соответствует требованиям документов: РД СВТ(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬФАКОМ»","105554, г. Москва, ул. Первомайская, д. 76, (495) 212-1673",""
"3616","2016-09-02","2019-09-02","система виртуализации VMware vSphere 5.5 в составе с подсистемой централизованного управления VMware vCenter Server","Соответствует требованиям документов: ТУ","1","АО «НПО «Эшелон»","ООО «ЦБИ»","ФГУП «СКЦ Росатома»","119017, г. Москва, ул. Большая Ордынка, д. 24, (495) 933-6040",""
"3618","2016-09-05","2019-09-05","ИС предоставления государственных услуг в сфере образования в электронном виде","Соответствует требованиям документов: РД СВТ(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬФАКОМ»","105554, г. Москва, ул. Первомайская, д. 76, (495) 212-1673",""
"3619","2016-10-06","2024-10-06","программное обеспечение «Рутокен Keybox»","Соответствует требованиям документов: Требования доверия(4)","серия","ЗАО «НПП «БИТ»","АО «Лаборатория ППШ»","АО «Актив-софт»","115088, г. Москва, ул. Шарикоподшипниковская, д. 1, этаж 4, пом. IX, комн. 11, (495) 925-7790","2030-10-28"
"3621","2016-09-16","2019-09-16","КПО КСУиД для двигателя GEVO12","Соответствует требованиям документов: РД НДВ(4)","500","ООО «ИБТранс»","АО «НИИАС»","ООО «ДжиИ Рус»","123317, г. Москва, Пресненская наб., д. 10, (495) 739-6811",""
"3622","2016-09-16","2019-09-16","ПО «Пульт управления унифицированный (УПУ). Программа УПУ тепловозов ТЭМ18ДМ»","Соответствует требованиям документов: РД НДВ(4)","1000","ООО «НПП «СВК»","АО «НИИАС»","АО «ВНИКТИ»","140402, Московская обл., г. Коломна, ул. Октябрьской революции, д. 410, (496) 618-8218, (496) 618-8283",""
"3623","2016-09-16","2019-09-16","ПО «Пульт управления унифицированный (УПУ). Программа УПУ тепловозов 2ТЭ10МК и 3ТЭ10МК»","Соответствует требованиям документов: РД НДВ(4)","1000","ООО «НПП «СВК»","АО «НИИАС»","АО «ВНИКТИ»","140402, Московская обл., г. Коломна, ул. Октябрьской революции, д. 410, (496) 618-8218, (496) 618-8283",""
"3625","2016-09-20","2029-09-20","система активной акустической и вибрационной защиты акустической речевой информации «Соната-АВ» модель 4Б","Соответствует требованиям документов: ТУ, Требования к СВАЗ-2023(А1), Требования к СВАЗ-2023(Б1), Требования к СВАЗ-2023(В1)","серия","ООО «ЦБИ»","АО «НПО «Эшелон»","ООО «Анна»","111141, г. Москва, ул. Плеханова, д. 15А, стр. 5, (495) 232-60-63","2026-09-20"
"3630","2016-11-03","2019-11-03","ПО микропроцессорной панели управления «МПУ»","Соответствует требованиям документов: ЗБ, ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Управление ВОЛС-ВЛ»","115184, г. Москва, Семёновский переулок, д. 15, (495) 710-5550","2029-11-03"
"3632","2016-09-30","2019-09-30","программное изделие «Система управления жизненным циклом изделия «ЛОЦМАН:PLM SE MILITARY» в составе двух исполнений: исполнение 1 - «PLM:ТИС 2014» и исполнение 2 - «ЛОЦМАН:PLM 2018 SE»","Соответствует требованиям документов: РД НДВ(2), ТУ","300","АО «НПО «Эшелон»","ООО «ЦБИ»","ФГУП «РФЯЦ-ВНИИЭФ»","607188, Нижегородская обл., г. Саров, пр-т Мира, д. 37, (831) 302-9644, (831) 302-9624","2025-12-31"
"3636","2016-10-11","2019-10-11","программное обеспечение «Управление доступом в автоматизированной системе информационно-аналитического центра системы государственного учета и контроля радиоактивных веществ и радиоактивных отходов» (ПО «УД АС ИАЦ СГУК РВ и РАО»)","Соответствует требованиям документов: РД НДВ(4)","100","ФГУП «СКЦ Росатома»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ФГУП «РФЯЦ – ВНИИТФ им. академ. Е.И. Забабахина»","456770, Челябинская обл., г. Снежинск, ул. Васильева, д. 13, (35146) 5-51-20",""
"3637","2016-10-05","2029-10-05","система управления базами данных «Postgres Pro»","Соответствует требованиям документов: Требования доверия(4), ТУ, Требования к СУБД(4)","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","ООО «ППГ»","117630, г. Москва, вн.тер.г. муниципальный округ Обручевский, ул. Обручева, д. 23, стр. 1, эт. 6, помещ. 33Н, ком. 6.3, (495) 150-0691","бессрочно"
"3638","2016-10-05","2019-10-05","Межсетевой экран с расширенной функциональностью, коммуникационный центр «ИВК Кольчуга»","Соответствует требованиям документов: РД МЭ(3), РД НДВ(4), ТУ","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","АО «ИВК»","129110, г. Москва, ул. Гиляровского, д. 57, стр. 1, комн. 73, (495) 221-6580","2027-06-30"
"3641","2016-10-06","2019-10-06","АИС «Общегородской электронный журнал/дневник»","Соответствует требованиям документов: РД СВТ(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬФАКОМ»","105554, г. Москва, ул. Первомайская, д. 76, (495) 212-1673",""
"3642","2016-10-20","2019-10-20","маршрутизатор Cisco ISR 4331 с установленным программным обеспечением Cisco IOS XE версии 03.16.02.S","Соответствует требованиям документов: РД МЭ(4)","1","ООО «ЛИССИ-Софт»","АО «БИТК»","ООО «ИНТАКТ»","127282, г. Москва, ул. Полярная, д. 33
(495) 989-4049",""
"3643","2016-10-18","2019-10-18","программное изделие (версии 1.0) «Средство защиты прикладного программного обеспечения «Автоматизированная Система Электронная Торговая Площадка B2B-Center»","Соответствует требованиям документов: РД НДВ(4), ТУ","1","ЗАО «КЛИО»","АО «БИТК»","АО «Центр развития экономики»","142601, Московская обл., г. Орехово-Зуево, ул. Бабушкина, д. 2 «а», (495) 989-8519",""
"3644","2016-10-19","2019-10-19","ИС «Проход в образовательное учреждение», «Предоставление бесплатного питания льготным категориям детей», «Предоставление платного питания»","Соответствует требованиям документов: РД СВТ(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬФАКОМ»","105554, г. Москва, ул. Первомайская, д. 76, (495) 212-1673",""
"3645","2016-10-19","2019-10-19","Общегородская платформа электронных образовательных материалов","Соответствует требованиям документов: РД СВТ(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «АЛЬФАКОМ»","105554, г. Москва, ул. Первомайская, д. 76, (495) 212-1673",""
"3646","2016-11-08","2019-11-08","Мелодия-РТ","Соответствует требованиям документов: ТУ","3","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ЦБИ»","ООО «АПиСТЗ»","117534, г. Москва, вн.тер.г. муниципальный округ Чертаново Южное, ул. Кировоградская, д. 23А, (495) 926-38-58","2024-12-31"
"3647","2016-11-08","2019-11-08","МЭ Cisco ASA 5585-S20-K8 с установленным программным обеспечением Cisco ASA Software версии 8.4(4)1","Соответствует требованиям документов: РД МЭ(4)","1","ФГУП «РФЯЦ-ВНИИЭФ»","АО «БИТК»","ГБУ Сахалинской области «Сахалинский областной центр информатизации»","693000, Сахалинская обл., г. Южно-Сахалинск, пр-т. Коммунистический, д. 39, корп. В, оф. 414, (424) 267-2117, (4242) 67-2100",""
"3649","2016-11-09","2019-11-09","Security Capsule","Соответствует требованиям документов: РД НДВ(4), ТУ","серия","АО «Информакустика»","АО «Лаборатория ППШ»","ООО «ИТБ»","198097, г. Санкт-Петербург, пр-т Стачек, д. 48, корп. 2, лит. А, эт/пом/оф 2/14Н/202, (812) 335-0145, (812) 315-5265","2025-11-09"
"3651","2016-11-08","2019-11-08","Cisco 2901","Соответствует требованиям документов: РД МЭ(4)","145","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-ГРУП»","123022, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",""
"3652","2016-11-08","2019-11-08","Cisco 2921","Соответствует требованиям документов: РД МЭ(4)","7","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АМТ-ГРУП»","123022, г. Москва, улица 1905 года, д. 10А, стр. 1, этаж 8, пом. 11, (495) 725-7660",""
"3653","2016-11-09","2019-11-09","СПО Diasoft","Соответствует требованиям документов: РД НДВ(4)","100","ЗАО «НПП «БИТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ЗАО «АСТ»","115522, г. Москва, Пролетарский просп., д. 8, корп. 2, (495) 679-86-86",""
"3655","2016-12-14","2019-12-14","ПО ЭП20","Соответствует требованиям документов: РД НДВ(4)","200","ООО «ИБТранс»","АО «НИИАС»","ООО «АВП Технология»","107553, г. Москва. Окружной проезд, д. 5, стр. 1, (495) 788-7084",""
"3656","2016-11-11","2019-11-11","КПД-3ПВ, БУ-3ПВ","Соответствует требованиям документов: РД НДВ(4)","200","ООО «ИБТранс»","АО «НИИАС»","ОАО «Электромеханика»","440052, г. Пенза, ул. Гоголя, д. 51/53, (8412) 20-9000",""
"3657","2016-11-09","2029-11-09","система акустических и виброакустических помех «БУРАН»","Соответствует требованиям документов: Требования к СВАЗ-2023(АВ2)","серия","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Лаборатория ППШ»","ЗАО НПЦ Фирма «НЕЛК»","109377, г. Москва, ул. 1-я Новокузьминская, дом 8/2, (495) 921-3374","2029-12-31"
"3658","2016-11-15","2019-11-15","Perimetrix SafeSpace","Соответствует требованиям документов: РД НДВ(4), ТУ","50","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Периметрикс»","119607, г. Москва, Мичуринский пр-т, д. 45 (495) 737-8866",""
